,id,location,gender,department,study level,total_duration,most_used_group
3342,5738,2,1.0,12.0,0.0,109729.0,3D-Printer
3343,5742,2,1.0,12.0,1.0,893663.0,3D-Printer
3344,5744,2,1.0,12.0,0.0,258677.0,3D-Printer
3345,5745,2,1.0,15.0,0.0,9029.0,3D-Printer
3346,5746,2,0.0,14.0,2.0,245572.0,3D-Printer
3347,5747,2,1.0,9.0,0.0,26967.0,Toolbox
3348,5748,2,1.0,8.0,0.0,100164.0,3D-Printer
3349,5749,2,1.0,12.0,0.0,91701.0,Lasercutter
3350,5751,1,0.0,14.0,0.0,13729.0,Lasercutter
3351,5753,2,1.0,12.0,2.0,57995.0,3D-Printer
3352,5754,2,1.0,8.0,0.0,18771.0,3D-Printer
3353,5755,2,0.0,15.0,0.0,14527.0,3D-Printer
3354,5756,1,1.0,14.0,2.0,413698.0,3D-Printer
3355,5757,2,1.0,12.0,1.0,1002.0,Lasercutter
3356,5758,2,1.0,10.0,1.0,6406.0,Lasercutter
3357,5760,2,1.0,12.0,1.0,138749.0,3D-Printer
